Date,Open,High,Low,Close,Adj Close,Volume
2023-05-01,0.059160,0.079542,0.036350,0.038463,0.038463,4455687
2023-05-02,0.038172,0.050341,0.026380,0.046578,0.046578,1626743
2023-05-03,0.046934,0.053160,0.033814,0.047231,0.047231,1654781
2023-05-04,0.047227,0.062438,0.039152,0.059074,0.059074,1613545
2023-05-05,0.059065,0.332690,0.059065,0.239324,0.239324,25247931
2023-05-06,0.239548,0.363550,0.151898,0.183571,0.183571,9406167
2023-05-07,0.183553,0.237398,0.131592,0.134319,0.134319,3904565
2023-05-08,0.134319,0.147292,0.076216,0.096718,0.096718,4256257
2023-05-09,0.096718,0.121781,0.067635,0.080585,0.080585,1622541
2023-05-10,0.080607,0.139317,0.078317,0.090836,0.090836,1956522
2023-05-11,0.090855,0.092692,0.052540,0.052540,0.052540,1243028
2023-05-12,0.052524,0.080081,0.051327,0.071853,0.071853,1409516
2023-05-13,0.071800,0.082607,0.052835,0.081613,0.081613,1640112
2023-05-14,0.081596,0.082319,0.065855,0.069262,0.069262,1003844
2023-05-15,0.069232,0.074326,0.053371,0.055915,0.055915,844323
2023-05-16,0.055986,0.059588,0.042508,0.048425,0.048425,746165
2023-05-17,0.048418,0.050032,0.029852,0.041791,0.041791,992561
2023-05-18,0.041794,0.044553,0.040228,0.040637,0.040637,796675
2023-05-19,0.040643,0.040695,0.033034,0.036565,0.036565,960451
2023-05-20,0.036591,0.047061,0.033120,0.044353,0.044353,886011
2023-05-21,0.044358,0.044766,0.039164,0.041535,0.041535,597410
2023-05-22,0.041532,0.044313,0.036171,0.037465,0.037465,912861
2023-05-23,0.037174,0.041892,0.030488,0.034398,0.034398,1026402
2023-05-24,0.034380,0.034657,0.027194,0.029220,0.029220,883513
2023-05-25,0.029229,0.035223,0.026462,0.033780,0.033780,890663
2023-05-26,0.033779,0.043192,0.033721,0.039507,0.039507,798860
2023-05-27,0.039509,0.052461,0.039487,0.052410,0.052410,1013139
2023-05-28,0.052413,0.074721,0.050575,0.069600,0.069600,1166276
2023-05-29,0.069594,0.070321,0.047859,0.051376,0.051376,603702
2023-05-30,0.051348,0.051658,0.040379,0.040501,0.040501,186603
2023-05-31,0.040507,0.045780,0.035981,0.038448,0.038448,402476
2023-06-01,0.038449,0.054686,0.038449,0.050374,0.050374,835847
2023-06-02,0.050360,0.052347,0.043289,0.043896,0.043896,668457
2023-06-03,0.043897,0.046630,0.042701,0.044062,0.044062,645281
2023-06-04,0.044046,0.044251,0.041440,0.042162,0.042162,589703
2023-06-05,0.042167,0.042241,0.032684,0.033200,0.033200,546087
2023-06-06,0.033201,0.046054,0.032728,0.039152,0.039152,826123
2023-06-07,0.039158,0.039170,0.032666,0.034417,0.034417,527217
